Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,43.0,37.0,31.0,49.0,1.27,0.0,-79.381,2363.38,-37.7,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,478692.4628,3617306.814,1
,Mixed / non conventional,43.0,37.0,40.0,38.5,0.85,0.0,141.931,2363.38,14.14,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,38.5,41.5,0.74,0.0,-248.557,2363.38,-7.07,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,41.5,35.5,0.72,0.0,265.456,2363.38,6.43,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,35.5,44.5,0.8,0.0,-322.385,2363.38,-5.89,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,44.5,34.0,0.89,0.0,252.762,2363.38,8.32,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,34.0,46.0,1.08,0.0,-180.736,2363.38,-14.14,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,46.0,32.5,1.14,0.0,149.351,2363.38,17.99,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,32.5,47.5,1.2,0.0,-114.314,2363.38,-24.74,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
,Mixed / non conventional,43.0,37.0,47.5,31.0,1.23,0.0,97.537,2363.38,29.87,0,,1/28/2024 5:26:48 PM,0,1900-01-01 17:26:48,,,0
