Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,34.0,28.0,38.5,22.0,1.08,0.0,85.764,2374.132,29.87,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,478693.6158,3617319.967,1
,Mixed / non conventional,34.0,28.0,23.5,38.5,1.04,0.0,-100.236,2374.132,-24.74,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,37.0,23.5,0.99,0.0,131.13,2374.132,17.99,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,25.0,37.0,0.95,0.0,-159.346,2374.132,-14.14,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,22.0,40.0,1.13,0.0,-70.978,2374.132,-37.7,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,26.5,35.5,0.72,0.0,-289.333,2374.132,-5.89,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,32.5,26.5,0.64,0.0,235.876,2374.132,6.43,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,29.5,32.5,0.65,0.0,-219.358,2374.132,-7.07,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,31.0,29.5,0.76,0.0,127.153,2374.132,14.14,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
,Mixed / non conventional,34.0,28.0,35.5,25.0,0.79,0.0,224.177,2374.132,8.32,0,,1/28/2024 5:26:27 PM,0,1900-01-01 17:26:27,,,0
