Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,32.0,26.0,35.0,21.5,0.97,0.0,128.959,2383.151,17.99,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,478694.5131,3617323.114,1
,Mixed / non conventional,32.0,26.0,20.0,38.0,1.12,0.0,-71.093,2383.151,-37.7,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,36.5,20.0,1.07,0.0,85.048,2383.151,29.87,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,21.5,36.5,1.03,0.0,-99.559,2383.151,-24.74,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,23.0,35.0,0.93,0.0,-156.517,2383.151,-14.14,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,29.0,27.5,1.24,0.0,208.581,2383.151,14.14,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,24.5,33.5,0.7,0.0,-283.089,2383.151,-5.89,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,30.5,24.5,0.62,0.0,231.54,2383.151,6.43,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,27.5,30.5,0.89,0.0,-298.755,2383.151,-7.07,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
,Mixed / non conventional,32.0,26.0,33.5,23.0,0.77,0.0,219.383,2383.151,8.32,0,,1/28/2024 5:26:22 PM,0,1900-01-01 17:26:22,,,0
