Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,39.0,33.0,42.0,28.5,1.09,0.0,145.44,2397.904,17.99,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,478692.9256,3617312.815,1
,Mixed / non conventional,39.0,33.0,43.5,27.0,1.18,0.0,94.781,2397.904,29.87,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,28.5,43.5,1.14,0.0,-110.231,2397.904,-24.74,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,27.0,45.0,1.21,0.0,-76.992,2397.904,-37.7,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,30.0,42.0,1.03,0.0,-174.649,2397.904,-14.14,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,31.5,40.5,0.77,0.0,-315.001,2397.904,-5.89,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,37.5,31.5,0.69,0.0,258.706,2397.904,6.43,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,34.5,37.5,0.73,0.0,-246.334,2397.904,-7.07,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,36.0,34.5,0.83,0.0,141.587,2397.904,14.14,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
,Mixed / non conventional,39.0,33.0,40.5,30.0,0.86,0.0,247.415,2397.904,8.32,0,,1/28/2024 5:26:38 PM,0,1900-01-01 17:26:38,,,0
