Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,33.0,27.0,21.0,39.0,1.14,0.0,-71.684,2379.188,-37.7,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,478694.1357,3617321.956,1
,Mixed / non conventional,33.0,27.0,37.5,21.0,1.09,0.0,86.469,2379.188,29.87,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,22.5,37.5,1.05,0.0,-101.113,2379.188,-24.74,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,24.0,36.0,0.95,0.0,-159.604,2379.188,-14.14,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,36.0,22.5,1.0,0.0,131.664,2379.188,17.99,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,25.5,34.5,0.72,0.0,-289.114,2379.188,-5.89,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,30.0,28.5,0.8,0.0,134.807,2379.188,14.14,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,34.5,24.0,0.78,0.0,224.186,2379.188,8.32,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,31.5,25.5,0.64,0.0,236.214,2379.188,6.43,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
,Mixed / non conventional,33.0,27.0,28.5,31.5,0.67,0.0,-227.152,2379.188,-7.07,0,,1/28/2024 5:26:24 PM,0,1900-01-01 17:26:24,,,0
