Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,44.0,38.0,48.5,32.0,1.23,0.0,97.146,2358.429,29.87,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,478692.1132,3617305.503,1
,Mixed / non conventional,44.0,38.0,33.5,48.5,1.2,0.0,-114.433,2358.429,-24.74,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,47.0,33.5,1.14,0.0,149.413,2358.429,17.99,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,35.0,47.0,1.09,0.0,-181.494,2358.429,-14.14,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,39.5,42.5,0.76,0.0,-251.934,2358.429,-7.07,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,36.5,45.5,0.81,0.0,-325.462,2358.429,-5.89,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,42.5,36.5,0.74,0.0,269.849,2358.429,6.43,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,41.0,39.5,0.86,0.0,143.399,2358.429,14.14,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,32.0,50.0,1.27,0.0,-79.434,2358.429,-37.7,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
,Mixed / non conventional,44.0,38.0,45.5,35.0,0.89,0.0,253.692,2358.429,8.32,0,,1/28/2024 5:26:50 PM,0,1900-01-01 17:26:50,,,0
