Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,42.0,36.0,45.0,31.5,1.07,0.0,140.927,2369.525,17.99,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,478692.4573,3617308.608,1
,Mixed / non conventional,42.0,36.0,30.0,48.0,1.22,0.0,-76.749,2369.525,-37.7,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,46.5,30.0,1.18,0.0,93.555,2369.525,29.87,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,31.5,46.5,1.14,0.0,-108.715,2369.525,-24.74,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,33.0,45.0,1.01,0.0,-169.922,2369.525,-14.14,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,40.5,34.5,0.68,0.0,249.103,2369.525,6.43,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,34.5,43.5,0.75,0.0,-303.085,2369.525,-5.89,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,39.0,37.5,0.81,0.0,135.765,2369.525,14.14,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,43.5,33.0,0.83,0.0,237.141,2369.525,8.32,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
,Mixed / non conventional,42.0,36.0,37.5,40.5,0.7,0.0,-235.925,2369.525,-7.07,0,,1/28/2024 5:26:45 PM,0,1900-01-01 17:26:45,,,0
