Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,35.0,29.0,23.0,41.0,1.12,0.0,-70.83,2373.878,-37.7,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,478693.1912,3617318.65,1
,Mixed / non conventional,35.0,29.0,39.5,23.0,1.08,0.0,85.554,2373.878,29.87,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,24.5,39.5,1.04,0.0,-99.812,2373.878,-24.74,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,38.0,24.5,0.98,0.0,129.746,2373.878,17.99,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,26.0,38.0,0.93,0.0,-156.637,2373.878,-14.14,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,36.5,26.0,0.77,0.0,218.63,2373.878,8.32,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,33.5,27.5,0.62,0.0,227.69,2373.878,6.43,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,32.0,30.5,0.69,0.0,115.837,2373.878,14.14,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,27.5,36.5,0.7,0.0,-280.714,2373.878,-5.89,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
,Mixed / non conventional,35.0,29.0,30.5,33.5,0.61,0.0,-204.269,2373.878,-7.07,0,,1/28/2024 5:26:29 PM,0,1900-01-01 17:26:29,,,0
