Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,31.0,25.0,19.0,37.0,1.1,0.0,-69.638,2376.679,-37.7,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,478694.9845,3617324.387,1
,Mixed / non conventional,31.0,25.0,35.5,19.0,1.04,0.0,82.95,2376.679,29.87,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,20.5,35.5,1.01,0.0,-97.284,2376.679,-24.74,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,22.0,34.0,0.91,0.0,-152.682,2376.679,-14.14,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,34.0,20.5,0.95,0.0,125.873,2376.679,17.99,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,23.5,32.5,0.68,0.0,-275.295,2376.679,-5.89,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,29.5,23.5,0.61,0.0,225.272,2376.679,6.43,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,26.5,29.5,0.76,0.0,-257.201,2376.679,-7.07,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,28.0,26.5,1.01,0.0,169.24,2376.679,14.14,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
,Mixed / non conventional,31.0,25.0,32.5,22.0,0.75,0.0,213.827,2376.679,8.32,0,,1/28/2024 5:26:20 PM,0,1900-01-01 17:26:20,,,0
