Unnamed: 0,El-array,xA (m),xB (m),xM (m),xN (m),Rho (Ohm.m),Dev. Rho (%),VMN (mV),IAB (mA),Coef. k (m),Stack,Name,Date,Gapfiller,Time_fixed,x_mapped,y_mapped,Matched
,Mixed / non conventional,46.0,40.0,34.0,52.0,1.21,0.0,-75.957,2357.668,-37.7,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,478692.1731,3617302.829,1
,Mixed / non conventional,46.0,40.0,35.5,50.5,1.13,0.0,-107.976,2357.668,-24.74,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,49.0,35.5,1.06,0.0,139.291,2357.668,17.99,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,37.0,49.0,1.02,0.0,-169.33,2357.668,-14.14,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,50.5,34.0,1.16,0.0,91.576,2357.668,29.87,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,38.5,47.5,0.76,0.0,-302.995,2357.668,-5.89,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,44.5,38.5,0.68,0.0,251.135,2357.668,6.43,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,41.5,44.5,0.7,0.0,-233.22,2357.668,-7.07,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,43.0,41.5,0.81,0.0,134.74,2357.668,14.14,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
,Mixed / non conventional,46.0,40.0,47.5,37.0,0.83,0.0,234.418,2357.668,8.32,0,,1/28/2024 5:26:55 PM,0,1900-01-01 17:26:55,,,0
